;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;4;13-sep-05;58;(0)_14_21_28_8;0;14;21;28;8;1,22;(0)_19_15_5_0;0;19;15;5;0;0,67;8;0,13;(5)_11;5;11;0,18;13;0,22;33;12;0;11;0;0;0;10;0;0,56;1.22_0.67_0.13_0.18_0.22_0.56
85;7;20-sep-05;57;(0)_16_13_34_8;0;16;13;34;8;1,24;(0)_33_24_13_0;0;33;24;13;0;1,22;3;0,05;(8)_3;8;3;0,05;16;0,28;26;10;6;0;0;0;0;10;0;0,45;1.24_1.22_0.05_0.05_0.28_0.45
88;3;23-sep-05;57;(0)_22_16_23_3;0;22;16;23;3;1,12;(0)_21_19_10_0;0;21;19;10;0;0,87;4;0,07;(5)_7;5;7;0,12;14;0,24;26;3;15;0;0;0;0;8;0;0,45;1.12_0.87_0.07_0.12_0.24_0.45
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;APLICACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FECHA APLICACIÓN;INSUMO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;27-jun-05;GOAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;11;08-jul-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;13;21-jul-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;12;02-ago-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;8;10-ago-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;7;17-ago-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;5;22-ago-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;4;26-ago-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;4;30-ago-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;6;05-sep-05;SpinTor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;4;09-sep-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;LIBERACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FECHA LIBERACION;INSECTO;CANTIDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;04-jul-05;HIPODAMIA;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;05-jul-05;DIADEGMA;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;05-jul-05;HIPODAMIA;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;06-jul-05;TRICHOGRAMMA;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;06-jul-05;CHRYSOPA HUEVESILLO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;06-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;07-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;08-jul-05;DIADEGMA;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;3;11-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;13-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;13-jul-05;CHRYSOPA HUEVESILLO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;13-jul-05;TRICHOGRAMMA;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;13-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;14-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;15-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;4;19-jul-05;DIADEGMA;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;20-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;20-jul-05;CHRYSOPA HUEVESILLO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;20-jul-05;TRICHOGRAMMA;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;21-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;22-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;22-jul-05;DIADEGMA;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;4;26-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;27-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;27-jul-05;TRICHOGRAMMA;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;27-jul-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;28-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1;29-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;29-jul-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;4;02-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;02-ago-05;TRICHOGRAMMA;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;02-ago-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;03-ago-05;DIADEGMA;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;03-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1;04-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;1;05-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;4;09-ago-05;DIADEGMA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1;10-ago-05;DIADEGMA;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;10-ago-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;10-ago-05;TRICHOGRAMMA;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;10-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1;11-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;11-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1;12-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;13-ago-05;DIADEGMA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;4;17-ago-05;DIADEGMA;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;17-ago-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;17-ago-05;TRICHOGRAMMA;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;17-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1;18-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;1;19-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;4;23-ago-05;DIADEGMA;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;23-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1;24-ago-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;24-ago-05;TRICHOGRAMMA;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;24-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;1;25-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;26-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;4;30-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;1;31-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;;31-ago-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;;31-ago-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;7;07-sep-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;1;08-sep-05;DIADEGMA;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;1;09-sep-05;TRICHOGRAMMA;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;;09-sep-05;CHRYSOPA HUEVESILLO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;;09-sep-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;1;10-sep-05;MOSCA TACHINIDE;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2;12-sep-05;DIADEGMA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2;14-sep-05;CHRYSOPA HUEVESILLO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;6;20-sep-05;CHRYSOPA HUEVESILLO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2;22-sep-05;TRICHOGRAMMA;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
