;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;143;28/06/2005;23/09/2005;3,3;BROCOLI;9,535;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;GRANDE;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL
0;;27-jun-05;1;(0)_0_0_0_0;0;0;0;0;0;0;(0)_0_0_0_0;0;0;0;0;0;0;0;0;(0)_0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0_0_0_0_0_0
7;7;04-jul-05;162;(20)_3_0_0_0;20;3;0;0;0;0,01;(689)_9_0_0_0;689;9;0;0;0;0,05;0;0;(0)_0;0;0;0;2;0,01;0;0;0;0;0;0;0;0;0;0;0.01_0.05_0_0_0.01_0
10;3;07-jul-05;156;(21)_20_13_2_0;21;20;13;2;0;0,22;(105)_34_11_0_0;105;34;11;0;0;0,28;0;0;(0)_0;0;0;0;19;0,12;20;0;0;0;0;0;0;12;8;0,12;0.22_0.28_0_0_0.12_0.12
14;4;11-jul-05;165;(14)_20_6_0_0;14;20;6;0;0;0,15;(10)_20_0_0_0;10;20;0;0;0;0,12;2;0,01;(0)_0;0;0;0;8;0,04;3;0;0;0;3;0;0;0;0;0,01;0.15_0.12_0.01_0_0.04_0.01
17;3;14-jul-05;165;(16)_22_8_4_0;16;22;8;4;0;0,2;(36)_21_4_0_0;36;21;4;0;0;0,15;0;0;(0)_0;0;0;0;7;0,04;0;0;0;0;0;0;0;0;0;0;0.2_0.15_0_0_0.04_0
21;4;18-jul-05;165;(13)_36_34_28_0;13;36;34;28;0;0,59;(49)_36_7_4_0;49;36;7;4;0;0,28;2;0,01;(0)_0;0;0;0;10;0,06;4;1;0;0;2;0;0;1;0;0,02;0.59_0.28_0.01_0_0.06_0.02
24;3;21-jul-05;162;(17)_36_46_60_12;17;36;46;60;12;0,95;(67)_34_18_3_0;67;34;18;3;0;0,33;9;0,05;(0)_0;0;0;0;23;0,14;15;9;0;0;0;0;0;6;0;0,09;0.95_0.33_0.05_0_0.14_0.09
28;4;25-jul-05;154;(15)_15_16_8_0;15;15;16;8;0;0,25;(12)_20_10_2_0;12;20;10;2;0;0,2;7;0,04;(0)_0;0;0;0;23;0,14;13;5;0;4;0;0;0;4;0;0,08;0.25_0.2_0.04_0_0.14_0.08
31;3;28-jul-05;162;(14)_19_18_12_0;14;19;18;12;0;0,3;(11)_20_20_7_0;11;20;20;7;0;0,29;9;0,05;(4)_5;4;5;0,03;22;0,13;4;0;0;0;0;0;0;4;0;0,02;0.3_0.29_0.05_0.03_0.13_0.02
36;5;02-ago-05;165;(7)_30_23_34_9;7;30;23;34;9;0,58;(17)_192_9_0_0;17;192;9;0;0;1,21;1;0;(1)_6;1;6;0,03;18;0,1;28;10;3;4;0;0;0;11;0;0,16;0.58_1.21_0_0.03_0.1_0.16
39;3;05-ago-05;165;(12)_19_16_7_2;12;19;16;7;2;0,26;(8)_59_16_0_0;8;59;16;0;0;0,45;7;0,04;(0)_1;0;1;0;17;0,1;21;1;0;13;0;0;0;7;0;0,12;0.26_0.45_0.04_0_0.1_0.12
44;5;10-ago-05;165;(0)_19_20_24_4;0;19;20;24;4;0,4;(80)_35_30_3_0;80;35;30;3;0;0,41;3;0,01;(0)_1;0;1;0;19;0,11;30;4;6;11;0;0;0;9;0;0,18;0.4_0.41_0.01_0_0.11_0.18
51;7;17-ago-05;165;(0)_19_24_48_5;0;19;24;48;5;0,58;(0)_229_16_6_0;0;229;16;6;0;1,52;2;0,01;(7)_10;7;10;0,06;16;0,09;30;10;6;4;0;0;0;10;0;0,18;0.58_1.52_0.01_0.06_0.09_0.18
56;5;22-ago-05;162;(0)_19_24_33_3;0;19;24;33;3;0,48;(1)_16_9_1_0;1;16;9;1;0;0,16;8;0,04;(2)_3;2;3;0,01;14;0,08;32;6;2;12;0;0;0;12;0;0,19;0.48_0.16_0.04_0.01_0.08_0.19
60;4;26-ago-05;165;(0)_50_27_18_1;0;50;27;18;1;0,58;(3)_28_9_1_0;3;28;9;1;0;0,23;7;0,04;(2)_6;2;6;0,03;13;0,07;13;3;1;0;0;0;0;9;0;0,07;0.58_0.23_0.04_0.03_0.07_0.07
64;4;30-ago-05;135;(0)_20_20_19_2;0;20;20;19;2;0,45;(0)_21_10_8_0;0;21;10;8;0;0,28;4;0,02;(4)_5;4;5;0,03;16;0,11;18;5;5;0;0;0;0;8;0;0,13;0.45_0.28_0.02_0.03_0.11_0.13
68;4;03-sep-05;116;(0)_18_17_29_6;0;18;17;29;6;0,6;(0)_29_13_6_0;0;29;13;6;0;0,41;7;0,06;(4)_6;4;6;0,05;16;0,13;43;8;3;18;0;0;0;14;0;0,37;0.6_0.41_0.06_0.05_0.13_0.37
74;6;09-sep-05;114;(0)_18_22_20_8;0;18;22;20;8;0,59;(0)_18_19_17_0;0;18;19;17;0;0,47;6;0,05;(8)_8;8;8;0,07;15;0,13;43;11;8;12;0;0;0;12;0;0,37;0.59_0.47_0.05_0.07_0.13_0.37
