;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;9;01-sep-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;5;06-sep-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;LIBERACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;FECHA LIBERACION;INSECTO;CANTIDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;04-jul-05;HIPODAMIA;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;05-jul-05;DIADEGMA;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;05-jul-05;HIPODAMIA;114 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;06-jul-05;TRICHOGRAMMA;26 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;06-jul-05;CHRYSOPA HUEVESILLO;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;06-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;07-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;08-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;3;11-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2;13-jul-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;13-jul-05;CHRYSOPA HUEVESILLO;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;13-jul-05;TRICHOGRAMMA;24 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;13-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;14-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;15-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;4;19-jul-05;DIADEGMA;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;20-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;20-jul-05;CHRYSOPA HUEVESILLO;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;20-jul-05;TRICHOGRAMMA;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;21-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;22-jul-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;22-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;4;26-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;27-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;27-jul-05;TRICHOGRAMMA;34 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;27-jul-05;CHRYSOPA HUEVESILLO;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;28-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;29-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;29-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;4;02-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;02-ago-05;TRICHOGRAMMA;26 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;02-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1;03-ago-05;DIADEGMA;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;03-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1;04-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;05-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;4;09-ago-05;DIADEGMA;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1;10-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;10-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;10-ago-05;TRICHOGRAMMA;34 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;10-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1;11-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;;11-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1;12-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1;13-ago-05;DIADEGMA;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;4;17-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;17-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;17-ago-05;TRICHOGRAMMA;36 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;17-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1;18-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1;19-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;4;23-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;23-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1;24-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;24-ago-05;TRICHOGRAMMA;37 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;24-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1;25-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1;26-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;4;30-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;1;31-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;;31-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;7;07-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;08-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;1;09-sep-05;TRICHOGRAMMA;27 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;;09-sep-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;;09-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;5;14-sep-05;CHRYSOPA HUEVESILLO;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;6;20-sep-05;CHRYSOPA HUEVESILLO;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2;22-sep-05;TRICHOGRAMMA;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
