;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;205;29/06/2005;15/09/2005;3,91;BROCOLI;11,54;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;GRANDE;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL
0;0;27-jun-05;1;(0)_0_0_0_0;0;0;0;0;0;0;(0)_0_0_0_0;0;0;0;0;0;0;0;0;(0)_0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0_0_0_0_0_0
8;8;07-jul-05;189;(12)_0_0_0_0;12;0;0;0;0;0;(56)_3_0_0_0;56;3;0;0;0;0,01;0;0;(0)_0;0;0;0;5;0,02;0;0;0;0;0;0;0;0;0;0;0_0.01_0_0_0.02_0
12;4;11-jul-05;189;(13)_10_5_0_0;13;10;5;0;0;0,07;(12)_82_4_0_0;12;82;4;0;0;0,45;0;0;(0)_0;0;0;0;15;0,07;2;0;0;0;0;0;0;2;0;0,01;0.07_0.45_0_0_0.07_0.01
15;3;14-jul-05;189;(28)_30_16_7_0;28;30;16;7;0;0,28;(15)_38_13_3_0;15;38;13;3;0;0,28;5;0,02;(0)_0;0;0;0;11;0,05;5;0;0;0;0;0;0;5;0;0,02;0.28_0.28_0.02_0_0.05_0.02
20;5;19-jul-05;189;(12)_27_19_17_0;12;27;19;17;0;0,33;(0)_47_9_3_0;0;47;9;3;0;0,31;4;0,02;(0)_0;0;0;0;12;0,06;0;0;0;0;0;0;0;0;0;0;0.33_0.31_0.02_0_0.06_0
23;3;22-jul-05;189;(14)_15_12_11_0;14;15;12;11;0;0,2;(21)_18_12_3_0;21;18;12;3;0;0,17;6;0,03;(0)_0;0;0;0;11;0,05;6;0;0;0;0;0;0;6;0;0,03;0.2_0.17_0.03_0_0.05_0.03
27;4;26-jul-05;189;(19)_24_20_17_0;19;24;20;17;0;0,32;(115)_32_12_5_0;115;32;12;5;0;0,25;9;0,04;(3)_1;3;1;0;23;0,12;15;0;10;0;0;0;0;5;0;0,07;0.32_0.25_0.04_0_0.12_0.07
30;3;29-jul-05;189;(12)_11_9_6_1;12;11;9;6;1;0,14;(0)_26_9_4_0;0;26;9;4;0;0,2;1;0;(0)_0;0;0;0;18;0,09;6;0;0;0;0;0;0;6;0;0,03;0.14_0.2_0_0_0.09_0.03
34;4;02-ago-05;189;(7)_12_7_1_0;7;12;7;1;0;0,1;(2)_26_2_0_0;2;26;2;0;0;0,14;1;0;(2)_3;2;3;0,01;13;0,06;4;0;1;0;0;0;0;3;0;0,02;0.1_0.14_0_0.01_0.06_0.02
38;4;06-ago-05;189;(10)_15_11_12_0;10;15;11;12;0;0,2;(0)_30_7_2_0;0;30;7;2;0;0,2;4;0,02;(6)_6;6;6;0,03;14;0,07;9;0;2;0;0;0;0;7;0;0,04;0.2_0.2_0.02_0.03_0.07_0.04
42;4;10-ago-05;189;(0)_20_19_18_0;0;20;19;18;0;0,3;(0)_20_15_6_0;0;20;15;6;0;0,21;7;0,03;(0)_2;0;2;0,01;18;0,09;16;3;0;6;0;0;0;7;0;0,08;0.3_0.21_0.03_0.01_0.09_0.08
50;8;18-ago-05;186;(0)_16_16_20_1;0;16;16;20;1;0,28;(62)_19_9_4_0;62;19;9;4;0;0,17;3;0,01;(3)_4;3;4;0,02;13;0,06;21;6;5;4;0;0;0;6;0;0,11;0.28_0.17_0.01_0.02_0.06_0.11
55;5;23-ago-05;189;(0)_30_18_26_6;0;30;18;26;6;0,42;(3)_33_10_1_0;3;33;10;1;0;0,23;1;0;(9)_11;9;11;0,05;14;0,07;26;9;5;6;0;0;0;6;0;0,13;0.42_0.23_0_0.05_0.07_0.13
59;4;27-ago-05;189;(0)_17_25_14_3;0;17;25;14;3;0,31;(58)_19_16_0_0;58;19;16;0;0;0,18;1;0;(0)_4;0;4;0,02;14;0,07;12;5;2;0;0;0;0;5;0;0,06;0.31_0.18_0_0.02_0.07_0.06
64;5;01-sep-05;140;(0)_14_16_23_5;0;14;16;23;5;0,41;(0)_20_18_8_0;0;20;18;8;0;0,32;6;0,04;(14)_28;14;28;0,2;15;0,1;48;7;10;16;0;0;0;15;0;0,34;0.41_0.32_0.04_0.2_0.1_0.34
69;5;06-sep-05;126;(0)_16_18_19_3;0;16;18;19;3;0,44;(0)_31_18_5_0;0;31;18;5;0;0,42;6;0,04;(10)_13;10;13;0,1;14;0,11;31;5;7;9;0;0;0;10;0;0,24;0.44_0.42_0.04_0.1_0.11_0.24
72;3;09-sep-05;62;(0)_18_16_14_6;0;18;16;14;6;0,87;(4)_31_17_3_0;4;31;17;3;0;0,82;2;0,03;(8)_8;8;8;0,12;15;0,24;22;8;3;0;0;0;0;11;0;0,35;0.87_0.82_0.03_0.12_0.24_0.35
77;5;14-sep-05;63;(0)_7_6_7_3;0;7;6;7;3;0,36;(0)_35_18_3_0;0;35;18;3;0;0,88;4;0,06;(3)_8;3;8;0,12;13;0,2;21;6;3;0;0;0;0;12;0;0,33;0.36_0.88_0.06_0.12_0.2_0.33
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;APLICACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FECHA APLICACIÓN;INSUMO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;29-jun-05;GOAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;13;12-jul-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;8;20-jul-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;7;27-jul-05;JAVELIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;27;23-ago-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
