;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;206;27/06/2005;15/09/2005;4,16;BROCOLI;7,046;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;PUPA NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;ADULTO;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL;;;;;;
74;3;09-sep-05;68;(0)_15_12_11_6;0;15;12;11;6;0,64;(0)_26_15_2_0;0;26;15;2;0;0,63;1;0,01;(4)_6;4;6;0,08;12;0,17;20;7;5;0;0;0;0;8;0;0,29;0.64_0.63_0.01_0.08_0.17_0.29;;;;;;
79;5;14-sep-05;68;(0)_20_13_15_4;0;20;13;15;4;0,76;(0)_50_26_6_0;0;50;26;6;0;1,2;5;0,07;(6)_11;6;11;0,16;15;0,22;21;10;3;0;0;0;0;8;0;0,3;0.76_1.2_0.07_0.16_0.22_0.3;;;;;;
85;6;20-sep-05;68;(0)_20_24_32_7;0;20;24;32;7;1,22;(0)_41_51_28_0;0;41;51;28;0;1,76;4;0,05;(11)_17;11;17;0,25;17;0,25;54;7;33;0;0;0;0;14;0;0,79;1.22_1.76_0.05_0.25_0.25_0.79;;;;;;
88;3;23-sep-05;68;(0)_19_20_23_8;0;19;20;23;8;1,02;(0)_16_16_10_0;0;16;16;10;0;0,61;7;0,1;(6)_8;6;8;0,11;15;0,22;54;13;12;17;0;0;0;12;0;0,79;1.02_0.61_0.1_0.11_0.22_0.79;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;APLICACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FECHA APLICACIÓN;INSUMO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;27-jun-05;GOAL;;HERBICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16;13-jul-05;JAVELIN;0.5 KG/HA;BT kurstaki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;26-jul-05;XENTARI;0.5 KG/HA;BT aizawai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;52;18-ago-05;JAVELIN;0.5 KG/HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;57;23-ago-05;XENTARI;0.5 KG/HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;66;01-sep-05;XENTARI;0.5 KG/HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;71;06-sep-05;JAVELIN;0.5 KG/HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;LIBERACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FECHA LIBERACION;INSECTO;CANTIDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;04-jul-05;HIPODAMIA;0 ;individuos;;;catarinas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;05-jul-05;DIADEGMA;3 ;frascos con 50 hembras y 50 machos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;05-jul-05;HIPODAMIA;122 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;06-jul-05;TRICHOGRAMMA;49 ;pulgadas cuadradas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;06-jul-05;CHRYSOPA HUEVESILLO;0 ;mililitros;5,000 huevecillos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;06-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;07-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;08-jul-05;DIADEGMA;1 ;;;Trichogramma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;3;11-jul-05;DIADEGMA;1 ;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;13-jul-05;DIADEGMA;3 ;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0;13-jul-05;CHRYSOPA HUEVESILLO;0 ;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0;13-jul-05;TRICHOGRAMMA;26 ;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0;13-jul-05;DIADEGMA;2 ;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;14-jul-05;DIADEGMA;1 ;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;15-jul-05;DIADEGMA;1 ;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;4;19-jul-05;DIADEGMA;3 ;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;20-jul-05;DIADEGMA;2 ;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;20-jul-05;CHRYSOPA HUEVESILLO;2 ;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;20-jul-05;TRICHOGRAMMA;65 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;21-jul-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;22-jul-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0;22-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;4;26-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;27-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0;27-jul-05;TRICHOGRAMMA;36 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0;27-jul-05;CHRYSOPA HUEVESILLO;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;28-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;29-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;0;29-jul-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;4;02-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;0;02-ago-05;TRICHOGRAMMA;27 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;0;02-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;03-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;0;03-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;04-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1;05-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;4;09-ago-05;DIADEGMA;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;10-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;0;10-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;0;10-ago-05;TRICHOGRAMMA;36 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;0;10-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
